date,store_name,store_id,device_id,gps_location
1611038950000,Rewe,place_191,65031,POINT (13.52868 52.62951999999999)
1611071398000,Kaufland,place_223,160533,POINT (13.5053778 52.5481688)
1611078414000,McDonald's,place_22,67766,POINT (13.5991043 52.5956734)
1611059501000,Rewe,place_193,53250,POINT (13.4063503 52.3534348)
1610982404000,Kaufland,place_219,50195,POINT (13.33545 52.60367)
1611083781000,Burger King,place_38,104616,POINT (13.310382 52.547373)
1611054469000,Rewe,place_161,2272,POINT (13.50854 52.45079000000001)
1611091174000,Rewe,place_138,8433,POINT (13.544664 52.676946)
1611045665000,Kaufland,place_214,643,POINT (13.445143 52.56405899999999)
1609603207000,Rewe,place_209,44720,POINT (13.441017 52.394672)
1609605319000,Aldi,place_119,48160,POINT (13.4126762 52.4014499)
1609589043000,Kaufland,place_220,46036,POINT (13.31285 52.42314)
1609582874000,Rewe,place_153,48666,POINT (13.4907677 52.5437507)
1609693117000,Burger King,place_40,66342,POINT (13.593892 52.548901)
1609580390000,Kaufland,place_216,45205,POINT (13.3770908 52.4680177)
1609569756000,Kaufland,place_214,48987,POINT (13.4444674 52.5637582)
1609580730000,Rewe,place_205,47470,POINT (13.6138981 52.51185160000001)
1609579516000,Rewe,place_200,49145,POINT (13.2806144 52.3965812)
1609601226000,Rewe,place_210,41379,POINT (13.224158 52.413129)
1609608601000,Rewe,place_198,49393,POINT (13.369332 52.5242813)
1609575448000,Rewe,place_146,41996,POINT (13.57833 52.55022)
1609583016000,Kaufland,place_223,40191,POINT (13.505 52.54814)
1609586386000,Rewe,place_178,49145,POINT (13.2629208 52.3870949)
1609581549000,Kaufland,place_224,47055,POINT (13.185391 52.520998)
1609601098000,Kaufland,place_223,43450,POINT (13.50499 52.54838)
1609609176000,Rewe,place_204,45373,POINT (13.291409 52.58312900000001)
1609600812000,Kaufland,place_226,61801,POINT (13.45706 52.53372)
1609567181000,Kaufland,place_225,49567,POINT (13.3674742 52.46214770000001)
1609586261000,Rewe,place_178,49145,POINT (13.2630026 52.38718770000001)
1609586045000,Rewe,place_138,42453,POINT (13.5443416 52.676927)
1609594339000,Rewe,place_148,44866,POINT (13.521638 52.498178)
1609584526000,Kaufland,place_219,44494,POINT (13.33507 52.60342320000001)
1609567136000,Kaufland,place_225,49567,POINT (13.367403 52.46216170000001)
1609582357000,Rewe,place_189,48666,POINT (13.4812046 52.5272974)
1609566392000,Rewe,place_180,62333,POINT (13.27158 52.4008)
1609594361000,Rewe,place_148,44866,POINT (13.521662 52.498177)
1609598972000,Kaufland,place_226,61801,POINT (13.45643 52.53381)
1609568784000,Kaufland,place_221,46393,POINT (13.447671 52.43675)
1609593956000,Kaufland,place_224,63820,POINT (13.1864599 52.5216353)
1609606223000,Rewe,place_198,49393,POINT (13.3695788 52.52412679999999)
1609610979000,Kaufland,place_217,61755,POINT (13.373035 52.559036)
1611062656000,Kaufland,place_225,162068,POINT (13.3675 52.46177)
1611065426000,Kaufland,place_216,22174,POINT (13.37694 52.46799)
1611069117000,Rewe,place_140,24758,POINT (13.4503556 52.508934)
1611064947000,Kaufland,place_227,18326,POINT (13.2145314 52.52974820000001)
1611031213000,Rewe,place_158,18862,POINT (13.55946 52.48674000000001)
1611069089000,Kaufland,place_227,18326,POINT (13.2143556 52.5293132)
1611080766000,Rewe,place_152,17337,POINT (13.45097 52.47867)
1611048711000,Renault,place_238,78319,POINT (13.368547 52.485362)
1611065280000,Aldi,place_61,30291,POINT (13.31424 52.41981)
1611080726000,Rewe,place_209,20859,POINT (13.4411524 52.3946927)
1611062960000,Aldi,place_132,55548,POINT (13.3395618 52.605166)
1611051008000,Rewe,place_161,21073,POINT (13.50868 52.45063)
1611061962000,Kaufland,place_223,28913,POINT (13.5055865 52.5481267)
1611074975000,Rewe,place_182,21943,POINT (13.42874 52.607161)
1611072080000,Rewe,place_182,86749,POINT (13.4286655 52.6072171)
1611035984000,Rewe,place_154,31941,POINT (13.5848066 52.4252258)
1611080461000,Rewe,place_151,20003,POINT (13.39515 52.4649)
1611054807000,McDonald's,place_18,126395,POINT (13.5929421 52.44806920000001)
1611091775000,Kaufland,place_227,18326,POINT (13.2140861 52.5290475)
1611065166000,Kaufland,place_219,95226,POINT (13.3350579 52.6034666)
1611055074000,Kaufland,place_224,18410,POINT (13.1855 52.52108000000001)
1611044305000,Rewe,place_158,29308,POINT (13.559837 52.486598)
1611066692000,Aldi,place_123,78675,POINT (13.2482172 52.5409287)
1611059380000,Kaufland,place_216,31197,POINT (13.37744 52.46838)
1611065786000,Kaufland,place_219,95226,POINT (13.3354545 52.603495)
1611084343000,Kaufland,place_227,18326,POINT (13.2142143 52.5292014)
1611080110000,Aldi,place_81,57956,POINT (13.6087073 52.5400032)
1611071719000,Kaufland,place_225,71004,POINT (13.367472 52.462448)
1611081034000,Kaufland,place_219,25824,POINT (13.334977 52.60352099999999)
1611071078000,Kaufland,place_227,18326,POINT (13.2145775 52.5297488)
1611037202000,Rewe,place_154,31941,POINT (13.5847129 52.42527370000001)
1611083454000,Rewe,place_165,16887,POINT (13.1660958 52.5513261)
1611056108000,Aldi,place_113,31592,POINT (13.2686 52.40818)
1611063302000,Kaufland,place_223,28913,POINT (13.5053872 52.5483498)
1611072655000,Kaufland,place_227,18326,POINT (13.2143665 52.52993100000001)
1611074942000,Rewe,place_182,21943,POINT (13.428792 52.607225)
1611050244000,Aldi,place_116,30596,POINT (13.6353135 52.5365672)
1611035219000,Rewe,place_156,31455,POINT (13.37727 52.48363000000001)
1611054121000,Mercedes,place_234,77535,POINT (13.3292749 52.4597782)
1611082133000,Kaufland,place_215,20283,POINT (13.2190534 52.5375124)
1611081865000,Renault,place_238,78319,POINT (13.368071 52.485372)
1611074861000,Rewe,place_182,21943,POINT (13.428897 52.60716600000001)
1611060565000,Rewe,place_159,28596,POINT (13.3654321 52.5717706)
1611062254000,Aldi,place_125,21000,POINT (13.19678 52.53946)
1611069177000,Rewe,place_140,24758,POINT (13.4503664 52.50895600000001)
1611049382000,Aldi,place_116,19626,POINT (13.63528 52.53663)
1611055720000,Kaufland,place_217,29763,POINT (13.3741416 52.55901770000001)
1611044285000,Rewe,place_158,29308,POINT (13.559852 52.486591)
1611075037000,Rewe,place_182,21943,POINT (13.428774 52.607222)
1611080642000,Kaufland,place_227,18326,POINT (13.2142551 52.5291228)
1611051000000,Rewe,place_158,18862,POINT (13.55954 52.48684)
1611052638000,Aldi,place_106,33610,POINT (13.46384 52.54556)
1611077937000,Kaufland,place_215,82310,POINT (13.2191579 52.53760379999999)
1611047264000,Rewe,place_205,41370,POINT (13.6142748 52.51191310000001)
1611047173000,Rewe,place_172,37490,POINT (13.26252 52.41138)
1611068125000,Kaufland,place_221,41258,POINT (13.447812 52.4367798)
1611054696000,Rewe,place_160,61490,POINT (13.338771 52.588685)
1611060086000,McDonald's,place_8,81131,POINT (13.43308 52.35852)
1611058933000,Kaufland,place_213,47917,POINT (13.3285907 52.5676698)
