date,store_name,store_id,device_id,gps_location,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-06,Kaufland,place_213,2489,POINT (13.32863 52.56766999999999),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_203,41255,POINT (13.49327 52.41294),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-05,Renault,place_244,45884,POINT (13.286666 52.51651800000001),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-06,Kaufland,place_227,2358,POINT (13.2144145 52.5297869),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_220,71875,POINT (13.312665 52.422919),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,McDonald's,place_13,43704,POINT (13.5437696 52.5529419),1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_138,47936,POINT (13.54418 52.67697),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_214,36064,POINT (13.44464 52.56446999999999),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-06,Kaufland,place_227,83352,POINT (13.2143664 52.52967579999999),0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2021-01-05,Kaufland,place_226,43709,POINT (13.4569 52.53364000000001),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-06,Rewe,place_154,51924,POINT (13.5845946 52.4253642),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Kaufland,place_220,47812,POINT (13.31271 52.42314),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_171,50574,POINT (13.4707787 52.5287925),0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2021-01-05,Kaufland,place_214,43476,POINT (13.4447737 52.5642909),0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
2021-01-05,Kaufland,place_215,44867,POINT (13.219125 52.537512),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_217,2969,POINT (13.37298 52.558849),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Aldi,place_119,40755,POINT (13.4126338 52.4015483),0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2021-01-06,Rewe,place_179,91480,POINT (13.568852 52.5283),0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2021-01-05,Mercedes,place_233,35736,POINT (13.43963 52.50664),0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-06,Kaufland,place_213,2489,POINT (13.32835 52.56749),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_159,82052,POINT (13.365332 52.571927),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_204,38389,POINT (13.291511 52.58321),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Mercedes,place_234,60235,POINT (13.329105 52.45992800000001),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Rewe,place_160,61490,POINT (13.339091 52.58868199999999),0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
